,id,price
0,1200019,458320.06674760184
1,3600057,401275.68716715
2,7600065,527927.9877895719
3,7600125,616619.4211427395
4,11500240,806331.8825817225
5,11500890,844877.1508832708
6,11520200,773919.7015015942
7,11900140,314509.2839936226
8,13001215,290290.80497956136
9,13001991,260817.7509361167
10,16000200,232876.29576581757
11,23520190,481975.8419748244
12,31000165,1380069.8109320265
13,40000228,163482.82802800785
14,40000471,272781.74045797315
15,53500450,345314.6039646081
16,59000201,798992.6206438269
17,59000445,611865.7527339004
18,84000105,269673.62841413374
19,84000335,283667.22816532763
20,88000173,429080.71570309234
21,88000591,216142.676645864
22,97600140,792735.7161608156
23,98000060,1330269.8593991697
24,98000740,1114181.1848644018
25,98000750,1054027.6978612368
26,98020350,755796.6771541563
27,98020480,869081.2075948612
28,98030660,836048.2760008011
29,98300230,1296104.4361963058
30,104510340,232633.84935545095
31,104530240,211976.70414145305
32,104540840,225338.80305372583
33,104550690,305566.85747738177
34,104560010,266753.9312682598
35,106000320,355126.5817728114
36,106000395,422157.0876679956
37,114100304,547179.8210218435
38,114100354,290015.9878218659
39,114101055,437619.36522036383
40,114101516,377268.400340338
41,114700150,226208.78399593345
42,120059044,370852.0708947935
43,121039042,987803.2676113198
44,123039279,178187.7117447366
45,123039642,450839.5629525856
46,123059046,652640.2751239126
47,125069038,1288784.9661979727
48,126039213,307125.42347901134
49,126039252,401782.6212181284
50,126039305,237890.7895094293
51,126059018,460905.73947282333
52,127100005,361647.0910191182
53,148000450,394170.04854412534
54,162500015,376080.2194911952
55,162500030,320299.32398523233
56,164000174,332499.54048791726
57,164000237,440265.5802161945
58,164000267,346989.743425137
59,179001101,164622.89292593327
60,182000350,379493.83521302533
61,191100810,1018177.9900728632
62,191101015,695152.017914386
63,192300020,426308.4410308297
64,192600100,430218.9728869079
65,193300140,217241.018027305
66,193600200,427058.0827200291
67,194000145,744446.8593980653
68,200500680,573316.7259793635
69,200800200,546911.7340437474
70,203100690,716746.8912409032
71,203100910,451104.6770865631
72,203101330,535592.7912419114
73,203600140,586344.3256242402
74,203900380,378910.1468084569
75,203900610,423269.8489467211
76,203900690,414858.0377233991
77,203900920,341375.97639063053
78,205000450,652994.1583414807
79,207700050,531611.8015209533
80,217500015,411111.4233182849
81,217500135,461039.54277953197
82,217500140,462669.5513222041
83,221029019,527034.0493626618
84,221049191,381816.5081384983
85,224059021,482434.5692551135
86,224069134,554022.3019438769
87,225039177,641945.9237198366
88,226039282,464770.7428618236
89,226109056,240572.69723810014
90,236500010,259254.21996371794
91,240000031,285633.9446595136
92,241900060,377944.3403440945
93,249000115,695612.8260229158
94,252000300,242710.08598332125
95,254000100,555949.134677744
96,254000735,322261.46925724734
97,255000320,440908.90530073125
98,255370020,322092.53375142015
99,255450380,358215.09363584797
100,255460330,396070.7451471261
101,255520180,656567.064860094
102,255550190,351158.262538187
103,257000038,280260.77689008554
104,259000100,437874.39197564445
105,259600260,446883.6814852219
106,259600910,431845.1213944025
107,259800410,486487.5498315714
108,259800750,428210.7048358183
109,259801110,426626.6583279024
110,259900160,663661.6153770728
111,263000006,384474.63466127013
112,263000255,405788.19738709164
113,267000170,461210.58321651054
114,269000221,820260.5708643711
115,269000950,871281.5569386578
116,269000970,1327739.318650457
